"Name";"List of interests-value";"List of studies-value";"Professional Experience-value"
"thomasL 32";"{""interests"":[""Travel"",""Backpacking road-trip in Southeast Asia (Solo, 1 month)."",""Sports"",""Running (Training for Paris Half-Marathon)."",""Tech Blogger"",""(AI and NoCode) - 1k monthly visitors.""]}";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web at Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""Jan 2025 - Jun 2025"",""company"":""PayFast"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""Contributed to the Go-to-market strategy for the launch of a new B2B offer.\nGrowth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management"",""country or city"":""Paris""},{""dates"":""Jan 2024 - Jan 2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed at Web Development & Marketing"",""description"":""Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasL 31";"{""interests"":[""Backpacking road-trip in Southeast Asia (Solo, 1 month)."",""Running (Training for Paris Half-Marathon)."",""Tech Blogger\n\n(AI and NoCode) - 1k monthly visitors.""]}";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web, Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""Jan 2025 - Jun 2025"",""company"":""PayFast"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management"",""country or city"":""Paris""},{""dates"":""Jan 2024 - Jan 2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed"",""description"":""Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasL 29";"[""Backpacking road-trip in Southeast Asia (Solo, 1 month)."",""Running (Training for Paris Half-Marathon)."",""Tech Blogger\n\n(AI and NoCode) - 1k monthly visitors.""]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web, Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""Jan 2025 - Jun 2025"",""company"":""PayFast"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management"",""country or city"":""Paris""},{""dates"":""Jan 2024 - Jan 2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed"",""description"":""Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasL 28";"{""interests"":[""Backpacking road-trip in Southeast Asia (Solo, 1 month)."",""Running (Training for Paris Half-Marathon)."",""Tech Blogger\n(AI and NoCode) - 1k monthly visitors.""]}";"[{""dates"":""2023 to 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""Jan 2025 to Jun 2025"",""company"":""PayFast"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management"",""country or city"":""Paris""},{""dates"":""Jan 2024 to Jan 2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed"",""description"":""Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasL 27";"{""interests"":[""Travel"",""Backpacking road-trip in Southeast Asia (Solo, 1 month)."",""Sports"",""Running (Training for Paris Half-Marathon)."",""Tech Blogger"",""(AI and NoCode) - 1k monthly visitors.""]}";"[{""dates"":""2023-2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""Jan 2025 - Jun 2025"",""company"":""PayFast"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management"",""country or city"":""Paris""},{""dates"":""Jan 2024 - Jan 2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed, Web Development & Marketing"",""description"":""Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasL 26";"{""interests"":[""Travel"",""Backpacking road-trip in Southeast Asia (Solo, 1 month)."",""Running (Training for Paris Half-Marathon)."",""Tech Blogger (AI and NoCode) - 1k monthly visitors.""]}";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""Jan 2025 - Jun 2025"",""company"":""PayFast"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management"",""country or city"":""Paris""},{""dates"":""Jan 2024 - Jan 2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed"",""description"":""Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasL 25";"[""Backpacking road-trip in Southeast Asia (Solo, 1 month)."",""Running (Training for Paris Half-Marathon)."",""(AI and NoCode) - 1k monthly visitors.""]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web, Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""Jan 2025 - Jun 2025"",""company"":""PayFast"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management"",""country or city"":""Paris""},{""dates"":""Jan 2024 - Jan 2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed, Web Development & Marketing"",""description"":""Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasL 24";"[""Backpacking road-trip in Southeast Asia (Solo, 1 month)."",""Running (Training for Paris Half-Marathon)."",""Tech Blogger\n\n(AI and NoCode) - 1k monthly visitors.""]";"[{""dates"":""2023 -2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""Jan 2025 - Jun 2025"",""company"":""PayFast"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management"",""country or city"":""Paris""},{""dates"":""Jan 2024 - Jan 2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed, Web Development & Marketing"",""description"":""Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasL 23";"[""Travel"",""Backpacking road-trip in Southeast Asia (Solo, 1 month)."",""Sports"",""Running (Training for Paris Half-Marathon)."",""Tech Blogger"",""(AI and NoCode) - 1k monthly visitors.""]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1/ École du Web, Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""JAN 2025 - JUN 2025"",""company"":""PayFast"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management"",""country or city"":""Paris""},{""dates"":""JAN 2024 - JAN 2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed, Web Development & Marketing"",""description"":""Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasL 22";"{""interests"":[""Travel\n\nBackpacking road-trip in Southeast Asia (Solo, 1 month)."",""Sports\n\nRunning (Training for Paris Half-Marathon)."",""Tech Blogger\n\n(AI and NoCode) - 1k monthly visitors.""]}";"[{""dates"":""2023 -2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""Jan 2025 - Jun 2025"",""company"":""PayFast"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management"",""country or city"":""Paris""},{""dates"":""Jan 2024 - Jan 2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed, Web Development & Marketing"",""description"":""Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasL 21";"{""interests"":[""Travel"",""Backpacking road-trip in Southeast Asia (Solo, 1 month)."",""Sports"",""Running (Training for Paris Half-Marathon)."",""Tech Blogger"",""(AI and NoCode) - 1k monthly visitors.""]}";"[{""dates"":""2023 -2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""Jan 2025 - Jun 2025"",""company"":""PayFast Paris"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management"",""country or city"":""not found""},{""dates"":""Jan 2024 - Jan 2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed, Web Development & Marketing"",""description"":""Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasG 40";"{""interests"":[""Entrepreneurship"",""Active member of startup communities and innovation events."",""Sports"",""Competitive sailing (regional level, 6 years).""]}";"[{""dates"":""2021 -2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""Mathematics & Economics"",""university"":""Lycee Clemenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jan 2023 - Present"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 39";"[""Active member of startup communities and innovation events."",""Competitive sailing (regional level, 6 years).""]";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""Mathematics & Economics"",""university"":""Lycee Clemenceau"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""01/2023-Present"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""06/2023-08/2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 38";"{""interests"":[""Entrepreneurship"",""Active member of startup communities and innovation events."",""Sports"",""Competitive sailing (regional level, 6 years).""]}";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Economics"",""university"":""Lycee Clemenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]}";"[{""dates"":""Jan 2023 - Present"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 37";"{""interests"":[""Entrepreneurship"",""Active member of startup\ncommunities and innovation\nevents."",""Sports"",""Competitive sailing (regional\nlevel, 6 years).""]}";"[{""dates"":""2021-2024"",""field"":""Specialization in Mathematics"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""}]";"[{""dates"":""not found"",""company"":""GreenMove (Student Startup), Nantes"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""not found""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator, Nantes"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""not found""}]"
"thomasG 36";"{""interests"":[""Entrepreneurship"",""Active member of startup communities and innovation events."",""Sports"",""Competitive sailing (regional level, 6 years).""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycee Clemenceau"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""JAN 2023 - PRESENT"",""company"":""GreenMove (Student Startup)"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""JUN 2023 - AUG 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 35";"{""interests"":[""Entrepreneurship\n\nActive member of startup communities and innovation events."",""Sports\n\nCompetitive sailing (regional level, 6 years).""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycee Clemenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jan 2023 - Present"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 34";"{""interests"":[""Entrepreneurship"",""Active member of startup communities and innovation events."",""Competitive sailing (regional level, 6 years).""]}";"[{""dates"":""2021 -2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycee Clemenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jan 2023 - Present"",""company"":""GreenMove (Student Startup)"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 33";"[""Entrepreneurship"",""Active member of startup communities and innovation events."",""Sports"",""Competitive sailing (regional level, 6 years).""]";"[{""dates"":""2021 -2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Economics"",""university"":""Lycee Clemenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jan 2023 - Present"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 32";"[""Entrepreneurship Active member of startup communities and innovation events."",""Competitive sailing (regional level, 6 years).""]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Economics"",""university"":""Lycee Clemenceau"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""JAN 2023 - PRESENT"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""JUN 2023 - AUG 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 31";"[""Entrepreneurship"",""Active member of startup communities and innovation events."",""Sports"",""Competitive sailing (regional level, 6 years).""]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycee Clemenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jan 2023 - Present"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 30";"{""interests"":[""Entrepreneurship"",""Active member of startup communities and innovation events."",""Competitive sailing (regional level, 6 years).""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycee Clemenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jan 2023 - Present"",""company"":""GreenMove (Student Startup)"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 29";"{""interests"":[""Entrepreneurship"",""Active member of startup communities and innovation events."",""Competitive sailing (regional level, 6 years).""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""Mathematics & Economics"",""university"":""Lycee Clemenceau"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jan 2023 - Present"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 28";"{""interests"":[""Entrepreneurship"",""Active member of startup communities and innovation events."",""Sports"",""Competitive sailing (regional level, 6 years).""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Economics"",""university"":""Lycee Clemenceau"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jan 2023 - Present"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 27";"{""interests"":[""Active member of startup communities and innovation events."",""Competitive sailing (regional level, 6 years).""]}";"[{""dates"":""2021 to 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""not found"",""field"":""Specialization in Mathematics & Economics"",""university"":""Lycee Clemenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jan 2023 to Present"",""company"":""GreenMove (Student Startup), Nantes"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""not found""},{""dates"":""Jun 2023 to Aug 2023"",""company"":""Startup Incubator, Nantes"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""not found""}]"
"thomasG 26";"{""interests"":[""Entrepreneurship"",""Active member of startup communities and innovation events."",""Sports"",""Competitive sailing (regional level, 6 years).""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycee Clemenceau"",""country or city"":""Nantes"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jan 2023 - Present"",""company"":""GreenMove (Student Startup)"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasG 25";"[""Active member of startup communities and innovation events."",""Competitive sailing (regional level, 6 years).""]";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycee Clemenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]}";"[{""dates"":""Jan 2023 - Present"",""company"":""GreenMove (Student Startup)"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""Jun 2023 - Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
